lr-AdamW,step,val/loss,val/acc,val/confidence_mean,val/entropy,epoch,train/loss_epoch,train/acc_epoch,train/confidence_mean,train/loss_step,train/acc_step
0.001,0,,,,,,,,,,
,35,2.0701403617858887,0.1388888955116272,0.18006791174411774,2.033785820007324,0,,,,,
,35,,,,,0,2.13166880607605,0.1440972238779068,0.21807657182216644,,
0.001,36,,,,,,,,,,
,49,,,,,1,,,,2.0210137367248535,0.1875
,71,2.0715606212615967,0.1319444477558136,0.15982167422771454,2.037576913833618,1,,,,,
,71,,,,,1,2.1031382083892822,0.1145833358168602,0.19174276292324066,,
0.001,72,,,,,,,,,,
,99,,,,,2,,,,2.059345006942749,0.125
,107,2.0780537128448486,0.1319444477558136,0.18671926856040955,2.0413146018981934,2,,,,,
,107,,,,,2,2.0931644439697266,0.1449652761220932,0.1803566813468933,,
0.001,108,,,,,,,,,,
,143,2.0652072429656982,0.1319444477558136,0.1579371839761734,2.0405263900756836,3,,,,,
,143,,,,,3,2.0933117866516113,0.1241319477558136,0.17629243433475494,,
0.001,144,,,,,,,,,,
,149,,,,,4,,,,2.05434250831604,0.0625
,179,2.069469928741455,0.1319444477558136,0.14970646798610687,2.0643599033355713,4,,,,,
,179,,,,,4,2.0825436115264893,0.125,0.17270785570144653,,
0.001,180,,,,,,,,,,
,199,,,,,5,,,,2.023031234741211,0.1875
,215,2.0762531757354736,0.1319444477558136,0.1886788010597229,2.0544397830963135,5,,,,,
,215,,,,,5,2.0855562686920166,0.1206597238779068,0.1723795384168625,,
0.001,216,,,,,,,,,,
,249,,,,,6,,,,2.0558207035064697,0.15625
,251,2.072842597961426,0.1319444477558136,0.1579718142747879,2.0691816806793213,6,,,,,
,251,,,,,6,2.0822033882141113,0.1258680522441864,0.17494234442710876,,
0.001,252,,,,,,,,,,
,287,2.067455530166626,0.1319444477558136,0.16822952032089233,2.0531303882598877,7,,,,,
,287,,,,,7,2.0895237922668457,0.1215277761220932,0.1668148636817932,,
0.001,288,,,,,,,,,,
,299,,,,,8,,,,2.070902109146118,0.09375
,323,2.060786485671997,0.1319444477558136,0.15442833304405212,2.0518789291381836,8,,,,,
,323,,,,,8,2.078859806060791,0.1241319477558136,0.16607360541820526,,
0.001,324,,,,,,,,,,
,349,,,,,9,,,,2.0413804054260254,0.21875
,359,2.062731981277466,0.1319444477558136,0.1514410674571991,2.051872968673706,9,,,,,
,359,,,,,9,2.0770585536956787,0.1276041716337204,0.1625262349843979,,
0.001,360,,,,,,,,,,
,395,2.0674808025360107,0.1319444477558136,0.16451887786388397,2.046738862991333,10,,,,,
,395,,,,,10,2.075657606124878,0.1267361044883728,0.1591787487268448,,
0.001,396,,,,,,,,,,
,399,,,,,11,,,,2.0476291179656982,0.09375
,431,2.064265727996826,0.1388888955116272,0.16255158185958862,2.0522546768188477,11,,,,,
,431,,,,,11,2.0717577934265137,0.1267361044883728,0.16383609175682068,,
0.001,432,,,,,,,,,,
,449,,,,,12,,,,2.100092887878418,0.09375
,467,2.0623347759246826,0.1319444477558136,0.14893783628940582,2.0567071437835693,12,,,,,
,467,,,,,12,2.0766141414642334,0.1336805522441864,0.15957750380039215,,
0.001,468,,,,,,,,,,
,499,,,,,13,,,,2.0906386375427246,0.15625
,503,2.0700483322143555,0.1319444477558136,0.18331533670425415,2.0461130142211914,13,,,,,
,503,,,,,13,2.0785841941833496,0.1137152761220932,0.16199485957622528,,
0.001,504,,,,,,,,,,
,539,2.060236930847168,0.1319444477558136,0.14172309637069702,2.059446334838867,14,,,,,
,539,,,,,14,2.069765090942383,0.1371527761220932,0.15982820093631744,,
0.001,540,,,,,,,,,,
,549,,,,,15,,,,2.0737204551696777,0.15625
,575,2.063549757003784,0.1319444477558136,0.15413092076778412,2.051992416381836,15,,,,,
,575,,,,,15,2.0762598514556885,0.1223958358168602,0.16366474330425262,,
0.001,576,,,,,,,,,,
,599,,,,,16,,,,2.0484511852264404,0.0625
,611,2.06160306930542,0.1319444477558136,0.14880886673927307,2.0571649074554443,16,,,,,
,611,,,,,16,2.0751595497131348,0.1310763955116272,0.15983086824417114,,
0.001,612,,,,,,,,,,
,647,2.0591883659362793,0.1388888955116272,0.1471036672592163,2.057866334915161,17,,,,,
,647,,,,,17,2.0723743438720703,0.1197916641831398,0.15825600922107697,,
0.001,648,,,,,,,,,,
,649,,,,,18,,,,2.0278711318969727,0.125
,683,2.060615062713623,0.1319444477558136,0.14684216678142548,2.0626232624053955,18,,,,,
,683,,,,,18,2.0736782550811768,0.125,0.15306177735328674,,
0.001,684,,,,,,,,,,
,699,,,,,19,,,,2.1197104454040527,0.15625
,719,2.061802864074707,0.1319444477558136,0.14839769899845123,2.0560083389282227,19,,,,,
,719,,,,,19,2.0731186866760254,0.1171875,0.15331220626831055,,
0.001,720,,,,,,,,,,
,749,,,,,20,,,,2.104206085205078,0.125
,755,2.060365676879883,0.1388888955116272,0.1383405327796936,2.067246675491333,20,,,,,
,755,,,,,20,2.0717148780822754,0.1267361044883728,0.15839941799640656,,
0.001,756,,,,,,,,,,
,791,2.060352087020874,0.1319444477558136,0.1441400647163391,2.0552966594696045,21,,,,,
,791,,,,,21,2.0664968490600586,0.1362847238779068,0.14824561774730682,,
0.001,792,,,,,,,,,,
,799,,,,,22,,,,2.1455743312835693,0.21875
,827,2.0592854022979736,0.1388888955116272,0.14109516143798828,2.055060863494873,22,,,,,
,827,,,,,22,2.0676918029785156,0.1519097238779068,0.15241222083568573,,
0.001,828,,,,,,,,,,
,849,,,,,23,,,,2.07405424118042,0.03125
,863,2.0589425563812256,0.1319444477558136,0.140609011054039,2.0597846508026123,23,,,,,
,863,,,,,23,2.0741090774536133,0.1102430522441864,0.15077443420886993,,
0.001,864,,,,,,,,,,
,899,,,,,24,,,,2.017195701599121,0.1875
,899,2.061819314956665,0.1319444477558136,0.14337767660617828,2.058753252029419,24,,,,,
,899,,,,,24,2.0736799240112305,0.1102430522441864,0.15396755933761597,,
0.001,900,,,,,,,,,,
,935,2.0592260360717773,0.1319444477558136,0.13911274075508118,2.0613577365875244,25,,,,,
,935,,,,,25,2.0722362995147705,0.1223958358168602,0.15323346853256226,,
0.001,936,,,,,,,,,,
,949,,,,,26,,,,2.0842955112457275,0.09375
,971,2.0591535568237305,0.1319444477558136,0.14149706065654755,2.0611793994903564,26,,,,,
,971,,,,,26,2.072265863418579,0.1258680522441864,0.15613707900047302,,
0.001,972,,,,,,,,,,
,999,,,,,27,,,,2.0146327018737793,0.15625
,1007,2.059056282043457,0.1388888955116272,0.14001737534999847,2.0609982013702393,27,,,,,
,1007,,,,,27,2.070232629776001,0.1171875,0.15005654096603394,,
0.001,1008,,,,,,,,,,
,1043,2.0588321685791016,0.1388888955116272,0.14189273118972778,2.061116933822632,28,,,,,
,1043,,,,,28,2.06563663482666,0.1345486044883728,0.14792808890342712,,
0.001,1044,,,,,,,,,,
,1049,,,,,29,,,,2.043292760848999,0.21875
,1079,2.0584516525268555,0.1388888955116272,0.14283427596092224,2.0589699745178223,29,,,,,
,1079,,,,,29,2.0694081783294678,0.1163194477558136,0.15160419046878815,,
0.001,1080,,,,,,,,,,
