lr-AdamW,step,val/loss,val/acc,val/confidence_mean,val/entropy,epoch,train/loss_epoch,train/acc_epoch,train/confidence_mean,train/loss_step,train/acc_step,test/loss,test/acc,test/acc_agg
0.001,0,,,,,,,,,,,,,
,35,2.0713424682617188,0.1388888955116272,0.16727794706821442,2.0250697135925293,0,,,,,,,,
,35,,,,,0,2.127519369125366,0.1362847238779068,0.21892699599266052,,,,,
0.001,36,,,,,,,,,,,,,
,49,,,,,1,,,,2.0515639781951904,0.25,,,
,71,2.073885202407837,0.1319444477558136,0.16075724363327026,2.036745071411133,1,,,,,,,,
,71,,,,,1,2.111499309539795,0.1276041716337204,0.193071186542511,,,,,
0.001,72,,,,,,,,,,,,,
,99,,,,,2,,,,2.098801612854004,0.125,,,
,107,2.0711185932159424,0.1319444477558136,0.17429618537425995,2.04815673828125,2,,,,,,,,
,107,,,,,2,2.0925443172454834,0.1232638880610466,0.17923972010612488,,,,,
0.001,108,,,,,,,,,,,,,
,143,2.0684010982513428,0.1319444477558136,0.15852783620357513,2.038604974746704,3,,,,,,,,
,143,,,,,3,2.090505599975586,0.1414930522441864,0.17625990509986877,,,,,
0.001,144,,,,,,,,,,,,,
,149,,,,,4,,,,2.0454344749450684,0.15625,,,
,179,2.06907320022583,0.1319444477558136,0.1536269187927246,2.0641679763793945,4,,,,,,,,
,179,,,,,4,2.082212209701538,0.1354166716337204,0.17301468551158905,,,,,
0.001,180,,,,,,,,,,,,,
,199,,,,,5,,,,2.010131597518921,0.1875,,,
,215,2.0755529403686523,0.1319444477558136,0.1896735280752182,2.0537056922912598,5,,,,,,,,
,215,,,,,5,2.083615303039551,0.1223958358168602,0.17372989654541016,,,,,
0.001,216,,,,,,,,,,,,,
,249,,,,,6,,,,2.0462071895599365,0.03125,,,
,251,2.0702295303344727,0.1319444477558136,0.1539270579814911,2.069437026977539,6,,,,,,,,
,251,,,,,6,2.0810816287994385,0.1241319477558136,0.17568835616111755,,,,,
0.001,252,,,,,,,,,,,,,
,287,2.067836284637451,0.1319444477558136,0.16908591985702515,2.0527596473693848,7,,,,,,,,
,287,,,,,7,2.0884182453155518,0.1241319477558136,0.16678887605667114,,,,,
0.001,288,,,,,,,,,,,,,
,299,,,,,8,,,,2.0502548217773438,0.1875,,,
,323,2.060650587081909,0.1319444477558136,0.15258200466632843,2.052263021469116,8,,,,,,,,
,323,,,,,8,2.0826504230499268,0.1328125,0.16655106842517853,,,,,
0.001,324,,,,,,,,,,,,,
,349,,,,,9,,,,2.0289556980133057,0.25,,,
,359,2.062548875808716,0.1319444477558136,0.14887340366840363,2.053678274154663,9,,,,,,,,
